Session_id,reason_category,reported_at
SES_00002,Website technical error,2025-10-22 10:20:50
SES_00006,Shipping cost too high,2025-08-27 17:41:51
SES_00007,Size/fit doubt,2025-08-26 17:34:00
SES_00010,Size/fit doubt,2025-02-15 03:21:23
SES_00013,Size/fit doubt,2025-07-08 02:13:03
SES_00017,Shipping cost too high,2025-12-11 20:22:52
SES_00021,Size/fit doubt,2025-06-23 16:07:02
SES_00022,Size/fit doubt,2025-01-18 03:59:15
SES_00031,Size/fit doubt,2025-04-28 15:24:50
SES_00037,Shipping cost too high,2025-09-26 10:48:42
SES_00038,Found better price elsewhere,2025-01-27 10:01:55
SES_00058,Shipping cost too high,2025-04-13 22:29:51
SES_00059,Website technical error,2025-04-20 09:00:45
SES_00064,Shipping cost too high,2025-04-04 22:08:45
SES_00067,Shipping cost too high,2025-08-13 23:43:32
SES_00077,Size/fit doubt,2025-05-07 12:20:38
SES_00089,Payment method declined,2025-10-18 11:22:56
SES_00103,Shipping cost too high,2025-09-04 16:22:04
SES_00109,Size/fit doubt,2025-06-28 07:32:29
SES_00115,Size/fit doubt,2025-06-06 08:23:00
SES_00118,Shipping cost too high,2025-05-04 00:09:51
SES_00119,Size/fit doubt,2025-03-18 22:27:20
SES_00125,Size/fit doubt,2025-05-08 16:10:12
SES_00127,Shipping cost too high,2025-01-25 08:10:35
SES_00143,Size/fit doubt,2025-12-06 05:14:40
SES_00144,Size/fit doubt,2025-06-01 22:58:51
SES_00146,Just browsing/saved for later,2025-07-25 12:11:39
SES_00148,Size/fit doubt,2025-10-04 20:40:36
SES_00151,Found better price elsewhere,2025-06-29 12:10:07
SES_00155,Size/fit doubt,2025-11-12 00:10:57
SES_00161,Just browsing/saved for later,2025-08-07 21:12:52
SES_00162,Size/fit doubt,2025-08-07 22:56:04
SES_00173,Shipping cost too high,2025-09-18 15:07:22
SES_00177,Size/fit doubt,2025-04-02 11:45:42
SES_00178,Just browsing/saved for later,2025-11-15 10:00:51
SES_00180,Size/fit doubt,2025-05-28 16:34:55
SES_00181,Shipping cost too high,2025-12-23 03:00:24
SES_00182,Shipping cost too high,2025-06-06 21:46:41
SES_00183,Size/fit doubt,2025-02-09 18:12:29
SES_00187,Size/fit doubt,2025-10-05 14:53:58
SES_00195,Just browsing/saved for later,2025-05-14 08:01:17
SES_00200,Size/fit doubt,2025-08-27 20:39:34
SES_00203,Just browsing/saved for later,2025-11-22 21:14:50
SES_00210,Shipping cost too high,2025-03-08 23:13:16
SES_00211,Size/fit doubt,2025-04-24 13:03:24
SES_00213,Found better price elsewhere,2025-01-30 17:04:09
SES_00218,Just browsing/saved for later,2025-11-29 09:56:54
SES_00229,Size/fit doubt,2025-12-13 00:26:23
SES_00246,Found better price elsewhere,2025-03-05 08:38:35
SES_00252,Size/fit doubt,2025-08-02 12:12:04
SES_00253,Size/fit doubt,2025-04-16 23:39:50
SES_00268,Size/fit doubt,2025-11-01 14:15:17
SES_00270,Found better price elsewhere,2025-01-25 02:39:08
SES_00280,Shipping cost too high,2025-12-13 15:29:36
SES_00285,Size/fit doubt,2025-02-08 18:23:31
SES_00291,Size/fit doubt,2025-06-22 02:18:01
SES_00305,Website technical error,2025-05-29 16:04:49
SES_00307,Shipping cost too high,2025-04-09 16:48:39
SES_00308,Size/fit doubt,2025-04-25 03:27:04
SES_00313,Size/fit doubt,2025-06-04 12:55:54
SES_00317,Size/fit doubt,2025-06-27 16:57:23
SES_00318,Size/fit doubt,2025-12-14 10:35:31
SES_00325,Size/fit doubt,2025-01-22 06:49:40
SES_00332,Shipping cost too high,2025-06-22 11:54:10
SES_00341,Just browsing/saved for later,2025-10-14 13:01:06
SES_00346,Shipping cost too high,2025-04-30 12:13:03
SES_00351,Size/fit doubt,2025-12-06 22:09:32
SES_00356,Size/fit doubt,2025-03-07 03:14:00
SES_00362,Size/fit doubt,2025-05-19 12:10:12
SES_00385,Size/fit doubt,2025-10-06 13:05:13
SES_00392,Shipping cost too high,2025-08-16 20:41:55
SES_00393,Website technical error,2025-06-04 10:53:51
SES_00396,Found better price elsewhere,2025-06-04 12:06:24
SES_00400,Size/fit doubt,2025-09-10 02:27:25
SES_00401,Size/fit doubt,2025-08-19 03:31:56
SES_00411,Shipping cost too high,2025-12-26 04:43:50
