event_id,session_id,stage,event_time
EVT_000001,SES_00001,landing,2025-07-15 11:06:44
EVT_000002,SES_00002,landing,2025-10-22 10:09:50
EVT_000003,SES_00002,Category,2025-10-22 10:10:40
EVT_000004,SES_00002,Product,2025-10-22 10:11:40
EVT_000005,SES_00002,Cart,2025-10-22 10:12:54
EVT_000006,SES_00003,landing,2025-07-30 19:33:02
EVT_000007,SES_00004,landing,2025-12-30 02:38:07
EVT_000008,SES_00004,Category,2025-12-30 02:39:46
EVT_000009,SES_00004,Product,2025-12-30 02:40:04
EVT_000010,SES_00005,landing,2025-03-23 01:43:08
EVT_000011,SES_00005,Category,2025-03-23 01:44:18
EVT_000012,SES_00006,landing,2025-08-27 17:37:51
EVT_000013,SES_00006,Category,2025-08-27 17:39:35
EVT_000014,SES_00006,Product,2025-08-27 17:40:57
EVT_000015,SES_00006,Cart,2025-08-27 17:42:23
EVT_000016,SES_00006,Checkout,2025-08-27 17:43:45
EVT_000017,SES_00007,landing,2025-08-26 17:29:00
EVT_000018,SES_00007,Category,2025-08-26 17:30:57
EVT_000019,SES_00007,Product,2025-08-26 17:32:52
EVT_000020,SES_00007,Cart,2025-08-26 17:34:04
EVT_000021,SES_00008,landing,2025-03-31 00:46:57
EVT_000022,SES_00008,Category,2025-03-31 00:47:26
EVT_000023,SES_00008,Product,2025-03-31 00:49:24
EVT_000024,SES_00009,landing,2025-08-12 06:38:12
EVT_000025,SES_00010,landing,2025-02-15 03:09:23
EVT_000026,SES_00010,Category,2025-02-15 03:11:03
EVT_000027,SES_00010,Product,2025-02-15 03:12:41
EVT_000028,SES_00010,Cart,2025-02-15 03:14:32
EVT_000029,SES_00010,Checkout,2025-02-15 03:16:01
EVT_000030,SES_00011,landing,2025-03-27 23:46:07
EVT_000031,SES_00011,Category,2025-03-27 23:46:53
EVT_000032,SES_00011,Product,2025-03-27 23:47:26
EVT_000033,SES_00012,landing,2025-05-14 13:01:59
EVT_000034,SES_00012,Category,2025-05-14 13:03:47
EVT_000035,SES_00012,Product,2025-05-14 13:05:03
EVT_000036,SES_00013,landing,2025-07-08 02:00:03
EVT_000037,SES_00013,Category,2025-07-08 02:01:32
EVT_000038,SES_00013,Product,2025-07-08 02:03:13
EVT_000039,SES_00013,Cart,2025-07-08 02:03:44
EVT_000040,SES_00013,Checkout,2025-07-08 02:05:11
EVT_000041,SES_00014,landing,2025-06-01 14:55:31
EVT_000042,SES_00014,Category,2025-06-01 14:56:36
EVT_000043,SES_00015,landing,2025-08-08 04:16:31
EVT_000044,SES_00016,landing,2025-09-13 17:36:09
EVT_000045,SES_00016,Category,2025-09-13 17:36:53
EVT_000046,SES_00016,Product,2025-09-13 17:37:09
EVT_000047,SES_00017,landing,2025-12-11 20:12:52
EVT_000048,SES_00017,Category,2025-12-11 20:13:19
EVT_000049,SES_00017,Product,2025-12-11 20:13:36
EVT_000050,SES_00017,Cart,2025-12-11 20:15:06
EVT_000051,SES_00018,landing,2025-11-09 02:05:55
EVT_000052,SES_00019,landing,2025-05-04 15:12:31
EVT_000053,SES_00019,Category,2025-05-04 15:13:59
EVT_000054,SES_00020,landing,2025-02-05 17:11:09
EVT_000055,SES_00020,Category,2025-02-05 17:12:13
EVT_000056,SES_00020,Product,2025-02-05 17:12:36
EVT_000057,SES_00020,Cart,2025-02-05 17:13:27
EVT_000058,SES_00020,Checkout,2025-02-05 17:14:16
EVT_000059,SES_00020,Thank_you,2025-02-05 17:14:41
EVT_000060,SES_00021,landing,2025-06-23 16:03:02
EVT_000061,SES_00021,Category,2025-06-23 16:04:10
EVT_000062,SES_00021,Product,2025-06-23 16:05:09
EVT_000063,SES_00021,Cart,2025-06-23 16:05:45
EVT_000064,SES_00021,Checkout,2025-06-23 16:06:54
EVT_000065,SES_00022,landing,2025-01-18 03:52:15
EVT_000066,SES_00022,Category,2025-01-18 03:53:47
EVT_000067,SES_00022,Product,2025-01-18 03:55:01
EVT_000068,SES_00022,Cart,2025-01-18 03:56:37
EVT_000069,SES_00023,landing,2025-11-06 06:29:34
EVT_000070,SES_00023,Category,2025-11-06 06:31:21
EVT_000071,SES_00023,Product,2025-11-06 06:33:20
EVT_000072,SES_00024,landing,2025-07-26 02:46:05
EVT_000073,SES_00024,Category,2025-07-26 02:47:41
EVT_000074,SES_00025,landing,2025-03-26 02:42:32
EVT_000075,SES_00025,Category,2025-03-26 02:44:01
EVT_000076,SES_00025,Product,2025-03-26 02:45:52
EVT_000077,SES_00026,landing,2025-10-17 09:31:55
EVT_000078,SES_00026,Category,2025-10-17 09:33:12
EVT_000079,SES_00027,landing,2025-12-11 10:45:24
EVT_000080,SES_00028,landing,2025-10-25 06:37:21
EVT_000081,SES_00028,Category,2025-10-25 06:37:57
EVT_000082,SES_00029,landing,2025-11-23 05:25:58
EVT_000083,SES_00029,Category,2025-11-23 05:27:25
EVT_000084,SES_00030,landing,2025-06-24 16:19:49
EVT_000085,SES_00030,Category,2025-06-24 16:21:24
EVT_000086,SES_00031,landing,2025-04-28 15:12:50
EVT_000087,SES_00031,Category,2025-04-28 15:14:23
EVT_000088,SES_00031,Product,2025-04-28 15:16:16
EVT_000089,SES_00031,Cart,2025-04-28 15:17:02
EVT_000090,SES_00032,landing,2025-02-12 08:02:26
EVT_000091,SES_00032,Category,2025-02-12 08:03:03
EVT_000092,SES_00033,landing,2025-05-14 11:37:53
EVT_000093,SES_00033,Category,2025-05-14 11:39:42
EVT_000094,SES_00034,landing,2025-10-15 20:08:42
EVT_000095,SES_00034,Category,2025-10-15 20:10:06
EVT_000096,SES_00035,landing,2025-09-21 23:14:09
EVT_000097,SES_00035,Category,2025-09-21 23:14:28
EVT_000098,SES_00036,landing,2025-11-12 12:04:39
EVT_000099,SES_00036,Category,2025-11-12 12:05:05
EVT_000100,SES_00037,landing,2025-09-26 10:39:42
EVT_000101,SES_00037,Category,2025-09-26 10:40:58
EVT_000102,SES_00037,Product,2025-09-26 10:42:44
EVT_000103,SES_00037,Cart,2025-09-26 10:43:39
EVT_000104,SES_00038,landing,2025-01-27 09:57:55
EVT_000105,SES_00038,Category,2025-01-27 09:59:16
EVT_000106,SES_00038,Product,2025-01-27 10:01:11
EVT_000107,SES_00038,Cart,2025-01-27 10:01:50
EVT_000108,SES_00039,landing,2025-08-31 11:36:43
EVT_000109,SES_00039,Category,2025-08-31 11:38:35
EVT_000110,SES_00040,landing,2025-06-07 15:23:46
EVT_000111,SES_00041,landing,2025-10-14 09:18:07
EVT_000112,SES_00041,Category,2025-10-14 09:20:02
EVT_000113,SES_00042,landing,2025-12-03 08:57:15
EVT_000114,SES_00043,landing,2025-05-11 22:57:23
EVT_000115,SES_00043,Category,2025-05-11 22:58:56
EVT_000116,SES_00043,Product,2025-05-11 23:00:50
EVT_000117,SES_00044,landing,2025-05-29 22:35:54
EVT_000118,SES_00045,landing,2025-07-11 00:07:51
EVT_000119,SES_00046,landing,2025-11-24 04:23:49
EVT_000120,SES_00047,landing,2025-06-30 00:44:27
EVT_000121,SES_00048,landing,2025-01-26 04:13:49
EVT_000122,SES_00049,landing,2025-02-02 06:01:31
EVT_000123,SES_00049,Category,2025-02-02 06:01:51
EVT_000124,SES_00050,landing,2025-06-19 15:07:19
EVT_000125,SES_00051,landing,2025-02-15 13:49:04
EVT_000126,SES_00052,landing,2025-08-12 01:15:41
EVT_000127,SES_00053,landing,2025-10-24 04:51:39
EVT_000128,SES_00053,Category,2025-10-24 04:53:04
EVT_000129,SES_00054,landing,2025-02-10 11:08:44
EVT_000130,SES_00054,Category,2025-02-10 11:09:55
EVT_000131,SES_00054,Product,2025-02-10 11:11:06
EVT_000132,SES_00055,landing,2025-11-25 13:02:00
EVT_000133,SES_00056,landing,2025-06-23 12:47:12
EVT_000134,SES_00056,Category,2025-06-23 12:49:08
EVT_000135,SES_00057,landing,2025-01-12 17:29:57
EVT_000136,SES_00058,landing,2025-04-13 22:23:51
EVT_000137,SES_00058,Category,2025-04-13 22:25:05
EVT_000138,SES_00058,Product,2025-04-13 22:26:01
EVT_000139,SES_00058,Cart,2025-04-13 22:26:43
EVT_000140,SES_00058,Checkout,2025-04-13 22:27:47
EVT_000141,SES_00059,landing,2025-04-20 08:48:45
EVT_000142,SES_00059,Category,2025-04-20 08:49:55
EVT_000143,SES_00059,Product,2025-04-20 08:50:11
EVT_000144,SES_00059,Cart,2025-04-20 08:51:02
EVT_000145,SES_00060,landing,2025-06-04 07:09:01
EVT_000146,SES_00060,Category,2025-06-04 07:10:26
EVT_000147,SES_00061,landing,2025-10-17 17:45:21
EVT_000148,SES_00061,Category,2025-10-17 17:46:31
