order_id,user_id,order_date,aov,discount_applied,is_completed
ORD_00001,USR_00972,2025-02-05 08:16:47,58.1,0,1
ORD_00002,USR_00415,2025-01-09 18:55:35,83.48,1,1
ORD_00003,USR_00644,2025-12-18 11:44:47,15.25,0,1
ORD_00004,USR_00893,2025-01-25 03:38:18,85.46,0,0
ORD_00005,USR_00545,2025-11-25 06:19:14,57.02,0,1
ORD_00006,USR_00608,2025-11-13 15:12:18,38.98,0,0
ORD_00007,USR_00958,2025-05-06 14:07:42,49.65,0,1
ORD_00008,USR_00726,2025-10-24 23:03:18,17.78,0,1
ORD_00009,USR_00164,2025-04-10 12:47:57,51.95,0,1
ORD_00010,USR_00581,2025-11-12 09:25:57,215.16,1,1
ORD_00011,USR_00378,2025-10-10 08:59:09,46.58,0,1
ORD_00012,USR_00633,2025-03-20 11:22:38,61.79,0,1
ORD_00013,USR_00016,2025-05-17 04:39:45,120.05,0,1
ORD_00014,USR_00578,2025-11-18 17:00:34,19.51,0,1
ORD_00015,USR_00399,2025-08-24 22:42:11,77.23,1,1
ORD_00016,USR_00310,2025-12-16 14:21:10,47.99,0,1
ORD_00017,USR_00570,2025-10-25 00:02:14,61.12,0,1
ORD_00018,USR_00887,2025-12-19 02:23:11,26.66,0,1
ORD_00019,USR_00457,2025-07-11 12:11:21,48.48,1,0
ORD_00020,USR_00216,2025-05-24 23:16:41,59.13,1,1
ORD_00021,USR_00815,2025-10-20 04:23:23,38.38,0,1
ORD_00022,USR_00265,2025-12-30 12:38:50,37.86,0,1
ORD_00023,USR_00182,2025-09-15 23:31:25,195.76,1,1
ORD_00024,USR_00909,2025-11-07 17:25:38,130.61,0,1
ORD_00025,USR_00931,2025-01-25 20:03:11,95.94,0,1
ORD_00026,USR_00381,2025-03-07 11:02:47,35.1,0,1
ORD_00027,USR_00025,2025-11-08 18:18:26,111.07,0,1
ORD_00028,USR_00269,2025-03-19 21:49:26,41.78,0,1
ORD_00029,USR_00018,2025-05-27 06:49:29,35.86,1,1
ORD_00030,USR_00487,2025-11-18 17:11:49,13.79,1,1
ORD_00031,USR_00197,2025-09-04 08:24:20,54.33,1,1
ORD_00032,USR_00111,2025-10-04 05:08:59,62.62,1,1
