session_id,user_id,session_start,device,Landing_page,exit_page
SES_00001,USR_00972,2025-07-15 11:06:44,mobile,Product,landing
SES_00002,USR_00415,2025-10-22 10:09:50,tablet,Product,Cart
SES_00003,USR_00644,2025-07-30 19:33:02,mobile,Category,landing
SES_00004,USR_00893,2025-12-30 02:38:07,mobile,Home,Product
SES_00005,USR_00545,2025-03-23 01:43:08,laptop,Home,Category
SES_00006,USR_00608,2025-08-27 17:37:51,mobile,Home,Checkout
SES_00007,USR_00958,2025-08-26 17:29:00,mobile,Home,Cart
SES_00008,USR_00726,2025-03-31 00:46:57,mobile,Home,Product
SES_00009,USR_00164,2025-08-12 06:38:12,tablet,Home,landing
SES_00010,USR_00581,2025-02-15 03:09:23,tablet,Home,Checkout
SES_00011,USR_00378,2025-03-27 23:46:07,mobile,Category,Product
SES_00012,USR_00633,2025-05-14 13:01:59,laptop,Product,Product
SES_00013,USR_00016,2025-07-08 02:00:03,mobile,Category,Checkout
SES_00014,USR_00578,2025-06-01 14:55:31,mobile,Category,Category
SES_00015,USR_00399,2025-08-08 04:16:31,mobile,Home,landing
SES_00016,USR_00310,2025-09-13 17:36:09,mobile,Category,Product
SES_00017,USR_00570,2025-12-11 20:12:52,tablet,Home,Cart
SES_00018,USR_00887,2025-11-09 02:05:55,mobile,Home,landing
SES_00019,USR_00457,2025-05-04 15:12:31,tablet,Category,Category
SES_00020,USR_00216,2025-02-05 17:11:09,laptop,Product,Thank_you
SES_00021,USR_00815,2025-06-23 16:03:02,mobile,Home,Checkout
SES_00022,USR_00265,2025-01-18 03:52:15,tablet,Home,Cart
SES_00023,USR_00182,2025-11-06 06:29:34,mobile,Category,Product
SES_00024,USR_00909,2025-07-26 02:46:05,tablet,Home,Category
SES_00025,USR_00931,2025-03-26 02:42:32,mobile,Ad_pdp,Product
SES_00026,USR_00381,2025-10-17 09:31:55,tablet,Product,Category
SES_00027,USR_00025,2025-12-11 10:45:24,mobile,Home,landing
SES_00028,USR_00269,2025-10-25 06:37:21,mobile,Category,Category
SES_00029,USR_00018,2025-11-23 05:25:58,tablet,Home,Category
SES_00030,USR_00487,2025-06-24 16:19:49,mobile,Home,Category
SES_00031,USR_00197,2025-04-28 15:12:50,mobile,Category,Cart
SES_00032,USR_00111,2025-02-12 08:02:26,mobile,Category,Category
SES_00033,USR_00639,2025-05-14 11:37:53,mobile,Home,Category
SES_00034,USR_00159,2025-10-15 20:08:42,mobile,Home,Category
SES_00035,USR_00825,2025-09-21 23:14:09,mobile,Home,Category
SES_00036,USR_00271,2025-11-12 12:04:39,mobile,Home,Category
SES_00037,USR_00491,2025-09-26 10:39:42,mobile,Product,Cart
SES_00038,USR_00037,2025-01-27 09:57:55,mobile,Home,Cart
SES_00039,USR_00800,2025-08-31 11:36:43,mobile,Home,Category
SES_00040,USR_00599,2025-06-07 15:23:46,mobile,Category,landing
SES_00041,USR_00421,2025-10-14 09:18:07,mobile,Category,Category
SES_00042,USR_00698,2025-12-03 08:57:15,laptop,Category,landing
SES_00043,USR_00190,2025-05-11 22:57:23,laptop,Home,Product
SES_00044,USR_00208,2025-05-29 22:35:54,mobile,Home,landing
SES_00045,USR_00402,2025-07-11 00:07:51,mobile,Home,landing
SES_00046,USR_00519,2025-11-24 04:23:49,mobile,Home,landing
SES_00047,USR_00877,2025-06-30 00:44:27,tablet,Home,landing
SES_00048,USR_00555,2025-01-26 04:13:49,mobile,Home,landing
SES_00049,USR_00524,2025-02-02 06:01:31,mobile,Home,Category
SES_00050,USR_00233,2025-06-19 15:07:19,mobile,Home,landing
SES_00051,USR_00649,2025-02-15 13:49:04,laptop,Home,landing
SES_00052,USR_00050,2025-08-12 01:15:41,mobile,Home,landing
SES_00053,USR_00078,2025-10-24 04:51:39,mobile,Home,Category
SES_00054,USR_00892,2025-02-10 11:08:44,mobile,Product,Product
SES_00055,USR_00716,2025-11-25 13:02:00,mobile,Product,landing
SES_00056,USR_00766,2025-06-23 12:47:12,mobile,Home,Category
SES_00057,USR_00832,2025-01-12 17:29:57,mobile,Ad_pdp,landing
SES_00058,USR_00043,2025-04-13 22:23:51,mobile,Home,Checkout
SES_00059,USR_00567,2025-04-20 08:48:45,tablet,Home,Cart
SES_00060,USR_00913,2025-06-04 07:09:01,mobile,Home,Category
SES_00061,USR_00757,2025-10-17 17:45:21,mobile,Home,Category
SES_00062,USR_00506,2025-10-08 23:50:09,mobile,Home,landing
SES_00063,USR_00153,2025-07-04 23:55:43,mobile,Home,Category
SES_00064,USR_00368,2025-04-04 22:05:45,laptop,Ad_pdp,Checkout
SES_00065,USR_00234,2025-02-13 17:26:50,mobile,Category,landing
SES_00066,USR_00608,2025-07-26 04:14:13,mobile,Category,Category
SES_00067,USR_00320,2025-08-13 23:34:32,mobile,Category,Cart
SES_00068,USR_00099,2025-03-17 01:20:43,tablet,Category,Product
SES_00069,USR_00279,2025-09-16 01:48:03,tablet,Product,landing
SES_00070,USR_00616,2025-08-14 23:41:34,mobile,Home,Category
SES_00071,USR_00540,2025-03-26 03:44:30,mobile,Category,landing
SES_00072,USR_00289,2025-11-07 20:31:56,mobile,Ad_pdp,Category
SES_00073,USR_00913,2025-12-02 22:55:10,mobile,Product,Thank_you
SES_00074,USR_00204,2025-08-01 21:09:25,mobile,Product,Product
SES_00075,USR_00699,2025-08-29 21:18:56,mobile,Home,Category
SES_00076,USR_00755,2025-04-24 18:09:13,mobile,Category,landing
SES_00077,USR_00317,2025-05-07 12:08:38,mobile,Category,Checkout
SES_00078,USR_00618,2025-05-30 02:21:06,mobile,Category,Category
SES_00079,USR_00311,2025-11-10 00:19:20,tablet,Category,landing
SES_00080,USR_00993,2025-12-21 17:13:32,mobile,Category,Category
SES_00081,USR_00378,2025-02-08 21:12:46,mobile,Home,landing
SES_00082,USR_00199,2025-10-26 08:13:06,mobile,Home,Product
SES_00083,USR_00161,2025-04-15 05:14:19,mobile,Home,Product
SES_00084,USR_00489,2025-12-18 18:35:36,mobile,Home,landing
SES_00085,USR_00761,2025-10-01 08:49:53,mobile,Category,Category
SES_00086,USR_00145,2025-05-05 18:33:03,tablet,Home,landing
SES_00087,USR_00316,2025-07-21 02:12:45,mobile,Category,landing
SES_00088,USR_00487,2025-05-15 14:52:49,tablet,Home,Category
SES_00089,USR_00093,2025-10-18 11:19:56,mobile,Category,Checkout
SES_00090,USR_00896,2025-01-25 03:18:59,laptop,Category,Category
SES_00091,USR_00312,2025-05-21 18:24:25,mobile,Category,landing
SES_00092,USR_00089,2025-11-17 13:12:56,mobile,Home,landing
SES_00093,USR_00006,2025-11-13 07:20:19,mobile,Category,Product
SES_00094,USR_00764,2025-10-28 00:27:28,tablet,Product,Product
SES_00095,USR_00082,2025-03-13 23:45:11,mobile,Home,landing
SES_00096,USR_00478,2025-05-30 09:16:28,mobile,Home,landing
SES_00097,USR_00464,2025-06-07 00:17:21,mobile,Home,Category
SES_00098,USR_00452,2025-01-15 11:04:38,mobile,Category,landing
SES_00099,USR_00568,2025-08-03 01:49:56,mobile,Product,landing
SES_00100,USR_00573,2025-12-24 17:38:55,mobile,Home,Product
SES_00101,USR_00186,2025-02-21 20:39:38,mobile,Home,Category
SES_00102,USR_00212,2025-08-06 09:53:49,mobile,Home,Product
SES_00103,USR_00028,2025-09-04 16:09:04,tablet,Category,Cart
SES_00104,USR_00975,2025-08-05 11:29:59,mobile,Category,landing
SES_00105,USR_00787,2025-04-08 23:36:44,mobile,Product,landing
SES_00106,USR_00600,2025-10-13 03:56:20,mobile,Home,landing
SES_00107,USR_00440,2025-01-28 19:03:23,mobile,Home,landing
SES_00108,USR_00789,2025-11-28 23:00:57,mobile,Category,landing
SES_00109,USR_00266,2025-06-28 07:18:29,mobile,Ad_pdp,Cart
SES_00110,USR_00522,2025-10-04 22:37:33,mobile,Category,Category
SES_00111,USR_00714,2025-12-02 10:12:53,mobile,Home,Category
SES_00112,USR_00156,2025-04-06 09:27:50,mobile,Home,Category
SES_00113,USR_00698,2025-06-04 00:37:22,tablet,Home,Product
SES_00114,USR_00509,2025-02-13 17:24:38,mobile,Home,Product
SES_00115,USR_00248,2025-06-06 08:15:00,mobile,Home,Checkout
SES_00116,USR_00107,2025-05-23 02:41:52,mobile,Product,Product
SES_00117,USR_00435,2025-03-07 08:04:40,mobile,Category,Product
SES_00118,USR_00008,2025-05-03 23:56:51,mobile,Home,Cart
SES_00119,USR_00570,2025-03-18 22:23:20,mobile,Home,Cart
SES_00120,USR_00255,2025-07-20 15:34:10,mobile,Product,landing
SES_00121,USR_00591,2025-08-11 19:03:24,mobile,Home,Category
SES_00122,USR_00325,2025-09-30 07:05:36,mobile,Home,Product
SES_00123,USR_00742,2025-03-05 19:30:05,mobile,Home,Category
SES_00124,USR_00536,2025-05-31 04:55:12,laptop,Home,landing
SES_00125,USR_00588,2025-05-08 16:05:12,tablet,Home,Checkout
SES_00126,USR_00640,2025-09-23 15:22:03,mobile,Home,landing
SES_00127,USR_00893,2025-01-25 08:01:35,laptop,Home,Cart
SES_00128,USR_00938,2025-12-07 14:53:37,mobile,Home,Category
SES_00129,USR_00680,2025-12-06 17:25:21,mobile,Category,Product
SES_00130,USR_00071,2025-06-29 15:46:47,mobile,Home,landing
SES_00131,USR_00003,2025-07-05 13:54:59,mobile,Home,landing
SES_00132,USR_01000,2025-05-21 16:02:53,mobile,Home,Category
SES_00133,USR_00072,2025-05-04 20:06:23,mobile,Home,Category
SES_00134,USR_00455,2025-05-07 01:50:01,mobile,Ad_pdp,landing
SES_00135,USR_00796,2025-07-13 09:53:18,tablet,Home,Category
SES_00136,USR_00176,2025-08-16 05:26:08,mobile,Product,Category
SES_00137,USR_00439,2025-05-15 05:07:03,mobile,Home,landing
SES_00138,USR_00094,2025-11-06 00:05:51,mobile,Category,Category
SES_00139,USR_00916,2025-06-09 18:18:48,tablet,Category,landing
SES_00140,USR_00391,2025-01-22 16:00:58,mobile,Category,landing
SES_00141,USR_00305,2025-07-26 02:34:59,mobile,Home,Thank_you
SES_00142,USR_00399,2025-11-03 19:20:24,laptop,Category,Product
SES_00143,USR_00573,2025-12-06 05:05:40,mobile,Product,Cart
SES_00144,USR_00056,2025-06-01 22:56:51,tablet,Home,Cart
SES_00145,USR_00309,2025-05-25 15:59:56,mobile,Product,landing
SES_00146,USR_00820,2025-07-25 12:01:39,mobile,Home,Cart
SES_00147,USR_00494,2025-12-04 21:17:36,laptop,Home,Category
SES_00148,USR_00166,2025-10-04 20:35:36,mobile,Category,Cart
SES_00149,USR_00043,2025-02-19 05:34:59,tablet,Home,Category
SES_00150,USR_00648,2025-02-08 13:40:23,mobile,Home,Category
SES_00151,USR_00660,2025-06-29 12:00:07,mobile,Category,Cart
SES_00152,USR_00918,2025-09-12 01:39:29,mobile,Home,Category
SES_00153,USR_00086,2025-08-28 21:06:39,mobile,Home,Category
SES_00154,USR_00696,2025-02-26 13:53:33,mobile,Home,landing
SES_00155,USR_00271,2025-11-12 00:04:57,mobile,Home,Cart
SES_00156,USR_00898,2025-11-11 22:29:19,mobile,Category,Product
SES_00157,USR_00817,2025-06-08 17:19:03,mobile,Home,Category
SES_00158,USR_00115,2025-12-28 16:12:35,tablet,Category,landing
SES_00159,USR_00108,2025-06-23 13:27:41,mobile,Home,Product
